frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
33, 0, 0.000, 0.98, 1, -0.43, 0.45, -1.02, -0.75, 2.19, 1.88, 0.14, 2.38, 3.02, 1.72, 0.03, 0.31, 0.26, 0.46, 1.29, 1.01, 1.68, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
34, 0, 0.000, 0.98, 1, 1.36, 3.17, 0.17, 0.65, 0.17, 1.35, 0.69, -0.62, 1.75, 1.75, -0.55, 0.51, -0.49, -0.02, -1.60, -0.02, -0.04, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
35, 0, 0.000, 0.98, 1, 0.22, 0.46, -1.15, -0.49, 2.47, 1.27, 0.76, 2.06, 3.33, 1.68, -0.07, 0.95, 1.66, -0.37, 0.29, 0.73, 0.42, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
36, 0, 0.000, 0.98, 1, 0.00, -0.33, 0.45, -0.96, 2.49, 1.79, 1.04, 2.86, 2.07, 1.25, 0.94, 4.70, 1.98, 1.75, -0.15, 2.60, -0.40, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0
37, 0, 0.000, 0.98, 1, 1.21, 1.40, 1.50, -0.14, 2.43, 2.69, 1.21, 2.51, 2.61, 0.81, 0.25, 1.66, -0.39, 1.21, 0.91, 0.49, 1.07, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
38, 0, 0.000, 0.98, 1, 0.19, 0.04, -0.44, 0.26, 2.48, 0.82, 1.24, 2.38, 2.38, 3.05, -0.44, 1.06, 0.29, 2.86, -1.56, 0.84, -0.98, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
39, 0, 0.000, 0.98, 1, 2.14, 1.90, -1.28, -0.49, 2.06, 1.45, 0.07, 3.78, 3.83, 1.25, 0.21, 1.14, 0.87, 0.96, 0.49, 0.24, -1.06, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
40, 0, 0.000, 0.98, 1, 2.43, 1.47, -1.19, 0.22, 0.00, 0.86, -0.38, 2.15, 1.72, 1.35, 2.69, 0.85, 1.37, 3.05, -1.10, 0.22, 1.30, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
41, 0, 0.000, 0.98, 1, 2.38, 1.59, 1.24, 2.05, 0.18, 1.96, 2.38, -0.83, 1.87, -0.42, -0.57, -0.13, -0.59, 0.62, -0.92, 0.27, -1.48, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
42, 0, 0.000, 0.98, 1, 1.00, -0.82, -0.38, -0.84, 1.54, 1.76, 0.63, 2.42, 2.15, 1.76, 0.89, 1.70, 0.78, 0.70, -1.41, 0.36, -0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
