frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
26, 0, 0.000, 0.98, 1, 1.45, 2.15, -1.02, 1.03, 0.80, 0.15, 0.60, 0.61, 1.41, 1.37, -1.11, -0.50, 0.17, 0.00, -0.31, 0.38, -0.82, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
27, 0, 0.000, 0.88, 1, 4.38, 4.37, 0.06, 0.65, 1.14, 0.24, -0.72, 1.79, 2.32, 2.69, 0.37, 1.57, 1.29, 0.06, 1.65, 1.05, -2.15, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
28, 0, 0.000, 0.88, 1, 1.55, 0.85, -1.39, 2.01, 1.00, 1.14, 0.73, 2.71, 1.35, 1.35, -0.51, 0.86, 0.76, 3.40, -0.05, 2.86, 0.76, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
29, 0, 0.000, 0.98, 1, 2.79, 2.99, 0.20, 2.02, 1.95, 0.17, -0.03, 1.21, 2.85, 1.18, -1.11, 0.59, 0.31, -0.66, 1.73, 1.29, -1.38, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
30, 0, 0.000, 0.88, 1, 4.56, 1.59, -2.12, 0.61, 2.33, 3.22, -0.73, 2.61, 1.77, -1.01, 6.03, 2.29, 2.31, 0.54, 2.47, 1.17, 0.09, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
31, 0, 0.000, 0.98, 1, 0.34, -0.84, 1.87, 1.69, 1.56, 1.81, 0.53, 3.06, 2.67, 2.23, 1.05, 2.08, 1.11, 2.76, 1.70, 2.18, -1.12, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
32, 0, 0.000, 0.98, 1, 6.51, 4.75, -1.00, 2.08, -0.64, 0.22, -0.77, 0.82, 1.05, 0.30, -1.32, -0.13, -1.88, -0.81, 2.12, -0.61, 0.96, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
33, 0, 0.000, 0.98, 1, 0.68, 1.28, -0.68, 0.53, 0.40, 0.06, -0.47, 0.74, 1.93, 0.73, -0.74, -0.73, 0.66, 0.15, 0.37, 0.30, 0.39, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
34, 0, 0.000, 0.98, 1, -0.69, 1.35, 0.89, -0.61, 2.47, 1.71, 0.60, 1.59, 3.68, 1.63, 0.11, -1.04, 0.22, 0.42, 2.13, 1.10, -1.80, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
35, 0, 0.000, 0.98, 1, 0.73, -1.18, 0.13, 0.68, 1.34, 1.78, 0.35, 1.92, 1.87, -0.18, 1.95, 0.73, 1.60, 0.62, 1.69, 0.67, 0.52, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0
