frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
26,  0,  0.000,  0.98,  1, 1.55, 0.21, 0.43, 0.00, 0.19, 1.24, 0.00, 0.25, 0.20, 0.48, 0.49, 0.75, 0.03, 0.00, 0.74, 0.55, 0.12, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  0.000,  0.98,  1, 0.83, 0.00, 0.00, 0.03, 0.17, 0.77, 0.21, 0.25, 0.20, 0.48, 0.19, 0.79, 0.04, 0.05, 0.83, 0.29, 0.12, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28,  0,  0.000,  0.88,  1, 0.32, 0.00, 0.00, 0.03, 0.22, 1.31, 0.21, 0.26, 0.42, 0.61, 0.19, 0.98, 0.04, 0.05, 1.34, 0.29, 0.67, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
29,  0,  0.000,  0.98,  1, 0.17, 0.07, 0.00, 0.03, 0.05, 0.58, 0.21, 0.02, 0.37, 0.39, 0.06, 0.36, 0.01, 0.05, 0.78, 0.26, 0.54, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30,  0,  0.000,  0.88,  1, 0.17, 0.07, 0.51, 0.00, 0.05, 1.41, 0.14, 0.02, 0.37, 0.39, 0.01, 0.26, 0.00, 0.03, 0.74, 0.82, 0.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31,  0,  0.000,  0.98,  1, 0.08, 0.07, 0.92, 0.00, 0.11, 0.87, 0.14, 0.00, 0.37, 0.27, 0.35, 1.20, 0.11, 0.53, 0.88, 0.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0,  0.000,  0.82,  1, 0.00, 0.00, 1.08, 0.13, 0.11, 1.25, 0.14, 0.00, 0.22, 0.01, 0.64, 1.27, 0.11, 0.98, 1.01, 1.85, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0,  0.000,  0.88,  1, 0.11, 0.00, 0.57, 0.13, 0.11, 0.90, 0.00, 0.00, 0.22, 0.01, 1.16, 1.51, 0.36, 0.95, 0.80, 1.80, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
34,  0,  0.000,  0.92,  1, 0.24, 0.00, 0.17, 0.13, 0.29, 1.50, 0.00, 0.30, 0.40, 0.96, 1.20, 0.79, 0.44, 0.45, 0.47, 1.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
35,  0,  0.000,  0.98,  1, 0.25, 0.00, 0.00, 0.00, 0.29, 1.18, 0.00, 0.30, 0.40, 0.96, 0.91, 1.10, 0.44, 0.00, 0.42, 1.31, 0.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
